Communication,Text Chat Codes
Attacking,<TX0C000000000039D7>
Checkmark/Understood,<TXC0000000002A9FD>
Fall Back,<TX0C0000000002A9EF>
Group Up,<TX0C000000000039DA>	
Go,<TX0C0000000002A9F1>	
Going In,<TX0C0000000002A9F2>	
Heart 1,<TXC0000000001F933>
Incoming,<TX0C0000000002A9F5>
Lootbox,<TXC000000000207B9>
Need Healing,<TX0000000000039DD>
Need Help,<TX0C00000000005A0C>
No,<TX0C0000000002A9F9>
On My Way,<TX0C0000000002A9FA>
Press The Attack,<TX0C0000000002A9FB>
Push Forward,<TX0C0000000002A9FC>	
Sorry,<TX0C0000000002A9FE>
With You,<tx0C0000000002AA00>
Raised Hand,<TX0C00000000005A0B>
Thumbs Up/Thanks,<TX0C00000000005A0D>
Trashcan,<TXC0000000001F943>
Ultimate,<TX0000000000039DB>
Waving Hand,<TX0C00000000005A0B>
Waving Hand 2,<TXC0000000002A9F4> 
Games,Text Chat Codes
Black Ops 4,<TXC0000000003A4DF>
Black Ops Cold War,<TXC0000000003A4E0>
Crash Bandicoot,<TXC0000000003A4E4>
Destiny,<TXC0000000003A4E6>
Diablo 2,<TXC0000000003A4E5>
Diablo 4,<TXC0000000003A4E6>
Diablo Immortal,<TX0C0000000003A4E8>
Hearthstone,<TXC0000000003A4EA>
Heroes of the Storm,<TX0C0000000003A4E9>
Modern Warfare,<TXC0000000003A4E2>
Modern Warfare 2,<TX0C0000000003A4E2>
Overwatch,<TXC0000000003A4EB>
Sea of Thieves,<TX0C00000000063CE8>
StarCraft,<TX0C0000000003A4EC>
StarCraft 2,<TX0C0000000003A4ED>
Vanguard,<TXC0000000003A4E3>
World of Warcraft,<TXC0000000003A4EE> 